"state","C1_HLTH_DEFS_CNT","C1_FS_DEFS_CNT","C2_HLTH_DEFS_CNT","C2_FS_DEFS_CNT","C3_HLTH_DEFS_CNT","C3_FS_DEFS_CNT","restot","aidhrd","vochrd","rnhrd","totlichrd","tothrd","pthrd","CM_RN","CM_TOTAL","fine_cnt","fine_tot","QM401","QM404","QM405","QM406","QM407","QM408","QM409","QM410","QM415","QM419","QM430","QM434","QM451","QM452","QM453","QM454","QM471","QM472","QM476","QM521","QM522","QM551","QM552","FILEDATE"
"NY","5.4","3.3","4.7","3.4","5.3","2.9","169.2","2.22","0.80","0.69","1.49","3.70","0.11","0.44559","3.39831","0.2","4076","13.299238","5.872673","54.502077","1.353848","2.201249","7.054001","0.354509","2.897792","92.954626","11.049682","78.878487","1.453227","15.378518","13.506130","8.433338","96.841522","69.799594","83.026168","1.435270","18.455044","8.221979","1.462934","0.682394","2020-07-01"
"OH","9.0","3.9","8.5","3.2","6.6","2.6","75.4","2.07","0.95","0.64","1.60","3.67","0.06","0.42942","3.37126","0.3","7629","15.223732","5.679309","43.578852","1.382249","2.038969","15.324050","0.082373","3.522536","93.568845","13.980221","84.128981","2.019121","17.915968","21.486717","6.810462","95.563289","67.213004","82.823576","1.345408","20.992821","10.512532","1.498846","0.931457","2020-07-01"
"OK","7.3","3.4","8.3","3.6","8.5","3.5","61.5","2.42","0.97","0.34","1.32","3.73","0.03","0.31732","2.88779","0.4","10345","14.252927","5.471998","37.063677","2.244030","4.542230","3.699398","0.238233","4.675630","94.748980","17.680265","83.477275","2.222554","15.127767","26.179379","9.183735","96.746504","67.935339","79.279694","1.946603","22.694922","13.983896","2.148698","1.549463","2020-07-01"
"OR","13.6","3.1","11.7","2.6","9.3","2.8","56.0","3.03","0.82","0.86","1.68","4.71","0.11","0.35468","3.21410","0.8","19898","12.746328","6.016989","52.335591","2.913762","3.053962","3.905534","0.398711","2.827565","94.361415","14.613512","84.609368","1.627918","18.692002","12.303775","8.362773","93.861670","70.126514","81.752032","1.277810","19.107600","14.345654","1.549024","1.284977","2020-07-01"
"PA","8.8","4.8","9.3","3.7","8.7","4.2","109.0","2.15","0.86","0.81","1.67","3.82","0.09","0.41960","3.38787","0.3","11409","14.640150","5.938532","55.263973","1.601160","2.110560","2.379557","0.253175","3.276138","91.294910","15.334205","79.672823","1.602718","19.103584","19.886028","6.709473","95.826258","64.282741","81.750139","1.490554","20.166251","8.433780","1.497943","0.628211","2020-07-01"
"PR","6.7","1.7","4.8","3.0","14.8","2.0","19.5","0.00","1.88","2.94","4.82","4.82","0.50","0.47051","3.17082","1.0","6042",,,,,,"0.000000","0.000000","0.000000","100.000000","4.255319","96.456086","0.661112",,"41.666668",,"100.000000","75.185874","94.870473","0.732102","18.155325","8.582138",,,"2020-07-01"
"RI","2.8","0.5","3.0","0.7","2.2","0.9","96.0","2.41","0.38","0.83","1.21","3.62","0.06","0.33572","3.05646","0.3","8439","15.356924","4.327185","45.969072","1.292505","2.692213","2.992155","0.134414","3.522525","94.966869","15.725565","82.653324","1.517177","18.900942","15.358289","5.878318","97.499584","72.285635","83.241085","1.764341","22.746250","11.375506","1.354106","0.735374","2020-07-01"
"SC","6.3","0.3","8.3","0.6","7.6","1.1","89.1","2.35","1.05","0.71","1.76","4.11","0.09","0.34217","3.14021","0.6","22012","14.504735","7.192698","59.068949","1.647461","3.637730","1.359951","0.532293","3.259463","93.421430","13.726394","83.758334","1.967638","18.825076","20.645767","9.099877","94.128095","69.084924","82.499521","1.610846","21.434339","11.359142","1.870250","1.026622","2020-07-01"
"SD","5.5","1.8","3.5","0.9","4.3","1.0","53.7","2.40","0.43","0.78","1.21","3.61","0.03","0.29836","2.92921","0.2","7289","16.129947","6.505909","48.887615","2.569183","3.721936","4.156229","0.153434","4.983261","94.986432","16.616502","84.161091","1.587553","18.073938","15.392580","5.378175","97.564619","77.806805","82.445291","1.728227","17.127529","8.240291","1.378088","0.752010","2020-07-01"
"TN","3.6","2.3","3.7","2.4","4.2","3.2","85.6","2.08","1.11","0.59","1.70","3.78","0.08","0.38122","3.30228","0.3","19869","16.359587","6.698393","54.311061","1.824477","3.261726","4.662119","0.287801","3.418543","92.317478","14.314496","84.222412","1.737459","21.021607","31.454289","7.409036","94.164657","66.637938","83.419048","1.212178","19.309257","10.116180","1.594775","0.966893","2020-07-01"
"TX","7.2","3.2","7.8","3.1","7.5","3.3","77.1","2.03","1.03","0.40","1.43","3.45","0.06","0.41874","3.29055","0.4","13504","17.189527","4.482014","50.828653","1.672749","2.235706","2.909578","0.059773","3.371952","94.201444","12.368524","84.023168","1.927467","18.274255","23.320630","7.510243","95.960671","60.866107","81.370112","1.386105","21.953036","10.671955","1.909528","1.072675","2020-07-01"
"UT","9.7","3.2","9.7","3.7","9.6","3.9","57.7","2.42","0.57","1.10","1.67","4.09","0.14","0.46134","3.43018","0.3","11131","12.405987","4.250547","47.214298","2.049271","2.756001","7.842321","0.075160","3.370776","94.849675","12.876072","88.152790","1.493083","15.746457","22.929057","6.439251","96.413029","67.206998","85.004947","1.065304","15.935025","10.128669","1.188998","0.812825","2020-07-01"
"VA","12.3","3.9","11.0","3.9","8.8","4.3","97.4","2.12","1.04","0.64","1.69","3.80","0.08","0.38278","3.24338","0.3","17231","15.490719","5.884474","54.634898","1.259327","3.230420","2.317653","0.222429","3.518813","90.737394","14.221418","81.810489","1.670275","19.760971","20.102827","7.659502","96.047647","68.193957","84.304797","1.406018","19.702209","10.738835","1.475091","0.930050","2020-07-01"
"VT","5.4","2.2","6.7","0.8","6.3","0.4","68.8","2.46","0.91","0.80","1.71","4.17","0.08","0.36995","3.24044","0.6","10105","17.790412","6.154387","49.528078","1.126526","2.477182","7.539325","0.132815","4.780964","92.548505","14.386411","83.257875","0.841851","21.775669","16.606994","5.625959","97.537592","76.100569","84.987885","2.073507","16.238212","12.061077","1.179346","1.367379","2020-07-01"
"WA","20.9","4.7","19.4","4.8","14.8","4.7","75.4","2.48","0.72","0.95","1.67","4.15","0.10","0.38244","3.33978","1.5","35807","13.655940","5.724595","53.329220","2.105913","2.471802","10.472472","0.563958","3.021127","94.704979","14.887000","86.452995","1.368428","18.032139","12.343435","6.481254","95.063939","67.150241","83.959736","1.341439","17.887354","11.557631","1.279923","0.876813","2020-07-01"
"WI","7.2","1.2","6.2","1.8","6.5","2.5","60.8","2.38","0.59","1.02","1.60","3.99","0.08","0.36461","3.24813","0.4","11782","13.519819","5.257794","49.300358","3.026439","2.940868","5.244700","0.105198","3.545082","97.097124","12.117384","89.063350","1.081562","18.028924","15.293493","5.649010","96.462500","74.393463","86.030938","1.359021","18.922323","12.223971","1.356510","1.077875","2020-07-01"
"WV","11.9","2.0","9.8","3.4","9.6","3.6","77.5","2.19","0.94","0.68","1.62","3.80","0.05","0.39815","3.25497","0.2","20553","16.765557","7.226986","42.433231","1.626958","3.952361","3.866724","0.273380","4.229779","97.307760","14.502159","83.456852","1.676614","19.915206","23.757865","8.705549","97.561397","64.177160","84.997370","1.799042","20.290036","11.600375","1.688335","1.269190","2020-07-01"
"WY","8.1","2.9","9.0","3.4","10.6","3.6","62.2","2.43","0.45","1.14","1.58","4.01","0.07","0.32007","2.96117","0.4","14218","14.959458","6.456787","45.116333","2.832692","3.329646","4.487678","0.293570","4.913692","93.067159","14.736781","75.921328","2.267114","15.539113","13.881283","5.574963","96.684117","75.716820","80.230165","1.375382","15.146847","9.319986","1.413916","1.257113","2020-07-01"

